title,genres,actors,director
Iron Man 2,Adventure Action Science Fiction,Robert Downey Jr. Gwyneth Paltrow Don Cheadle,Jon Favreau
Snow White and the Huntsman,Adventure Fantasy Drama,Kristen Stewart Charlize Theron Chris Hemsworth,Rupert Sanders
Maleficent,Fantasy Adventure Action Family Romance,Angelina Jolie Elle Fanning Sharlto Copley,Robert Stromberg
Dawn of the Planet of the Apes,Science Fiction Action Drama Thriller,Andy Serkis Jason Clarke Gary Oldman,Matt Reeves
The Lovers,Action Adventure Science Fiction Romance,Josh Hartnett Simone Kessell Tamsin Egerton,Roland Joffé
47 Ronin,Drama Action Adventure Fantasy,Keanu Reeves Hiroyuki Sanada Kou Shibasaki,Carl Rinsch
Captain America: The Winter Soldier,Action Adventure Science Fiction,Chris Evans Samuel L. Jackson Scarlett Johansson,Anthony Russo
Shrek Forever After,Comedy Adventure Fantasy Animation Family,Mike Myers Eddie Murphy Cameron Diaz,Mike Mitchell
Tomorrowland,Adventure Family Mystery Science Fiction,Britt Robertson George Clooney Raffey Cassidy,Brad Bird
Big Hero 6,Adventure Family Animation Action Comedy,Scott Adsit Ryan Potter Daniel Henney,Chris Williams
Wreck-It Ralph,Family Animation Comedy Adventure,John C. Reilly Sarah Silverman Jack McBrayer,Rich Moore
The Polar Express,Adventure Animation Family Fantasy,Tom Hanks Michael Jeter Nona Gaye,Robert Zemeckis
Independence Day: Resurgence,Action Adventure Science Fiction,Liam Hemsworth Jeff Goldblum Bill Pullman,Roland Emmerich
How to Train Your Dragon,Fantasy Adventure Animation Family,Jay Baruchel Gerard Butler Craig Ferguson,Chris Sanders
Terminator 3: Rise of the Machines,Action Thriller Science Fiction,Arnold Schwarzenegger Nick Stahl Claire Danes,Jonathan Mostow
Guardians of the Galaxy,Action Science Fiction Adventure,Chris Pratt Zoe Saldana Dave Bautista,James Gunn
Interstellar,Adventure Drama Science Fiction,Matthew McConaughey Jessica Chastain Anne Hathaway,Christopher Nolan
Inception,Action Thriller Science Fiction Mystery Adventure,Leonardo DiCaprio Joseph Gordon-Levitt Ellen Page,Christopher Nolan
シン・ゴジラ,Action Adventure Drama Horror Science Fiction,Hiroki Hasegawa Yutaka Takenouchi Satomi Ishihara,Hideaki Anno
The Hobbit: An Unexpected Journey,Adventure Fantasy Action,Ian McKellen Martin Freeman Richard Armitage,Peter Jackson
The Fast and the Furious,Action Crime Thriller,Paul Walker Vin Diesel Michelle Rodriguez,Rob Cohen
The Curious Case of Benjamin Button,Fantasy Drama Thriller Mystery Romance,Cate Blanchett Brad Pitt Tilda Swinton,David Fincher
X-Men: First Class,Action Science Fiction Adventure,James McAvoy Michael Fassbender Jennifer Lawrence,Matthew Vaughn
The Hunger Games: Mockingjay - Part 2,Action Adventure Science Fiction,Jennifer Lawrence Josh Hutcherson Liam Hemsworth,Francis Lawrence
The Sorcerer's Apprentice,Fantasy Adventure Action Comedy Drama,Nicolas Cage Jay Baruchel Monica Bellucci,Jon Turteltaub
Poseidon,Adventure Action Drama Thriller,Kurt Russell Richard Dreyfuss Josh Lucas,Wolfgang Petersen
Alice Through the Looking Glass,Fantasy,Johnny Depp Mia Wasikowska Anne Hathaway,James Bobin
Shrek the Third,Fantasy Adventure Animation Comedy Family,Mike Myers Eddie Murphy Cameron Diaz,Chris Miller
Warcraft,Action Adventure Fantasy,Paula Patton Travis Fimmel Ben Foster,Duncan Jones
Terminator Genisys,Science Fiction Action Thriller Adventure,Arnold Schwarzenegger Jason Clarke Emilia Clarke,Alan Taylor
The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure Family Fantasy,Skandar Keynes Georgie Henley Simon Pegg,Michael Apted
Pearl Harbor,History Romance War,Ben Affleck Josh Hartnett Kate Beckinsale,Michael Bay
Transformers,Adventure Science Fiction Action,Shia LaBeouf Josh Duhamel Megan Fox,Michael Bay
Alexander,War History Action Adventure Drama Romance,Colin Farrell Angelina Jolie Val Kilmer,Oliver Stone
Harry Potter and the Order of the Phoenix,Adventure Fantasy Family Mystery,Daniel Radcliffe Rupert Grint Emma Watson,David Yates
Harry Potter and the Goblet of Fire,Adventure Fantasy Family,Daniel Radcliffe Rupert Grint Emma Watson,Mike Newell
Hancock,Fantasy Action,Will Smith Charlize Theron Jason Bateman,Peter Berg
I Am Legend,Drama Horror Action Thriller Science Fiction,Will Smith Alice Braga Charlie Tahan,Francis Lawrence
Charlie and the Chocolate Factory,Adventure Comedy Family Fantasy,Johnny Depp Freddie Highmore David Kelly,Tim Burton
Ratatouille,Animation Comedy Family Fantasy,Patton Oswalt Ian Holm Lou Romano,Jan Pinkava
Batman Begins,Action Crime Drama,Christian Bale Michael Caine Liam Neeson,Christopher Nolan
Madagascar: Escape 2 Africa,Family Animation,Ben Stiller Jada Pinkett Smith David Schwimmer,Eric Darnell
Night at the Museum: Battle of the Smithsonian,Adventure Fantasy Action Comedy Family,Ben Stiller Amy Adams Owen Wilson,Shawn Levy
X-Men Origins: Wolverine,Adventure Action Thriller Science Fiction,Hugh Jackman Liev Schreiber Danny Huston,Gavin Hood
The Matrix Revolutions,Adventure Action Thriller Science Fiction,Keanu Reeves Laurence Fishburne Carrie-Anne Moss,Lilly Wachowski
Frozen,Animation Adventure Family,Kristen Bell Idina Menzel Jonathan Groff,Chris Buck
The Matrix Reloaded,Adventure Action Thriller Science Fiction,Keanu Reeves Carrie-Anne Moss Laurence Fishburne,Lilly Wachowski
Thor: The Dark World,Action Adventure Fantasy,Chris Hemsworth Natalie Portman Tom Hiddleston,Alan Taylor
Mad Max: Fury Road,Action Adventure Science Fiction Thriller,Tom Hardy Charlize Theron Nicholas Hoult,George Miller
Angels & Demons,Thriller Mystery,Tom Hanks Ewan McGregor Ayelet Zurer,Ron Howard
Thor,Adventure Fantasy Action,Chris Hemsworth Natalie Portman Tom Hiddleston,Kenneth Branagh
Bolt,Animation Family Adventure Comedy,John Travolta Miley Cyrus Susie Essman,Chris Williams
G-Force,Fantasy Action Adventure Family Comedy,Sam Rockwell Penélope Cruz Tracy Morgan,Hoyt Yeatman
Wrath of the Titans,Adventure,Sam Worthington Liam Neeson Ralph Fiennes,Jonathan Liebesman
Dark Shadows,Comedy Fantasy,Johnny Depp Michelle Pfeiffer Helena Bonham Carter,Tim Burton
Mission: Impossible - Rogue Nation,Action Adventure Thriller,Tom Cruise Rebecca Ferguson Simon Pegg,Christopher McQuarrie
The Wolfman,Drama Horror Thriller,Benicio del Toro Anthony Hopkins Emily Blunt,Joe Johnston
Bee Movie,Family Animation Adventure Comedy,Jerry Seinfeld Renée Zellweger Jim Cummings,Steve Hickner
Kung Fu Panda 2,Animation Family,Jack Black Angelina Jolie Dustin Hoffman,Jennifer Yuh Nelson
The Last Airbender,Action Adventure Family Fantasy,Noah Ringer Nicola Peltz Jackson Rathbone,M. Night Shyamalan
Mission: Impossible III,Adventure Action Thriller,Tom Cruise Philip Seymour Hoffman Ving Rhames,J.J. Abrams
White House Down,Action Drama Thriller,Channing Tatum Jamie Foxx Joey King,Roland Emmerich
Mars Needs Moms,Adventure Animation Family,Seth Green Joan Cusack Dan Fogler,Simon Wells
Flushed Away,Adventure Animation Comedy Family,Hugh Jackman Kate Winslet Ian McKellen,David Bowers
Pan,Adventure Family Fantasy,Levi Miller Garrett Hedlund Hugh Jackman,Joe Wright
Mr. Peabody & Sherman,Animation Adventure Family,Ty Burrell Max Charles Ariel Winter,Rob Minkoff
Troy,Adventure Drama War,Brad Pitt Orlando Bloom Eric Bana,Wolfgang Petersen
Madagascar 3: Europe's Most Wanted,Animation Family,Ben Stiller Sacha Baron Cohen David Schwimmer,Conrad Vernon
Die Another Day,Adventure Action Thriller,Pierce Brosnan Halle Berry Rosamund Pike,Lee Tamahori
Ghostbusters,Action Fantasy Comedy,Melissa McCarthy Kristen Wiig Kate McKinnon,Paul Feig
Armageddon,Action Thriller Science Fiction Adventure,Bruce Willis Billy Bob Thornton Ben Affleck,Michael Bay
Men in Black II,Action Adventure Comedy Science Fiction,Tommy Lee Jones Will Smith Rip Torn,Barry Sonnenfeld
Beowulf,Adventure Action Animation,Ray Winstone Angelina Jolie Anthony Hopkins,Robert Zemeckis
Kung Fu Panda 3,Action Adventure Animation Comedy Family,Jack Black Bryan Cranston Dustin Hoffman,Jennifer Yuh Nelson
Mission: Impossible - Ghost Protocol,Action Thriller Adventure,Tom Cruise Jeremy Renner Simon Pegg,Brad Bird
Rise of the Guardians,Fantasy Animation Family,Chris Pine Alec Baldwin Jude Law,Peter Ramsey
Fun with Dick and Jane,Comedy,Jim Carrey Téa Leoni Alec Baldwin,Dean Parisot
The Last Samurai,Drama Action War History,Tom Cruise Ken Watanabe William Atherton,Edward Zwick
Exodus: Gods and Kings,Adventure Drama Action,Christian Bale Joel Edgerton John Turturro,Ridley Scott
Star Trek,Science Fiction Action Adventure,Chris Pine Zachary Quinto Leonard Nimoy,J.J. Abrams
Spider-Man,Fantasy Action,Tobey Maguire Willem Dafoe Kirsten Dunst,Sam Raimi
How to Train Your Dragon 2,Fantasy Action Adventure Animation Comedy Family,Jay Baruchel Gerard Butler Kristen Wiig,Dean DeBlois
Gods of Egypt,Fantasy,Brenton Thwaites Nikolaj Coster-Waldau Gerard Butler,Alex Proyas
Stealth,Action,Josh Lucas Jessica Biel Jamie Foxx,Rob Cohen
Watchmen,Action Mystery Science Fiction,Malin Åkerman Billy Crudup Carla Gugino,Zack Snyder
Lethal Weapon 4,Action Adventure Comedy Crime Thriller,Mel Gibson Danny Glover Joe Pesci,Richard Donner
Hulk,Drama Action Science Fiction,Eric Bana Jennifer Connelly Sam Elliott,Ang Lee
G.I. Joe: Retaliation,Adventure Action Science Fiction Thriller,Dwayne Johnson D.J. Cotrona Adrianne Palicki,Jon M. Chu
Sahara,Action Adventure Comedy Drama Mystery,Matthew McConaughey Penélope Cruz Steve Zahn,Breck Eisner
Final Fantasy: The Spirits Within,Adventure Action Animation Fantasy Science Fiction Thriller,Donald Sutherland Ming-Na Wen Alec Baldwin,Hironobu Sakaguchi
Captain America: The First Avenger,Action Adventure Science Fiction,Chris Evans Hugo Weaving Tommy Lee Jones,Joe Johnston
The World Is Not Enough,Adventure Action Thriller,Pierce Brosnan Sophie Marceau Robert Carlyle,Michael Apted
Master and Commander: The Far Side of the World,Adventure,Russell Crowe Paul Bettany James D'Arcy,Peter Weir
The Twilight Saga: Breaking Dawn - Part 2,Adventure Fantasy Drama Romance,Kristen Stewart Robert Pattinson Taylor Lautner,Bill Condon
Happy Feet Two,Animation Comedy Family,Elijah Wood Robin Williams Pink,George Miller
The Incredible Hulk,Science Fiction Action Adventure,Edward Norton Liv Tyler Tim Roth,Louis Leterrier
The BFG,Adventure Family Fantasy,Ruby Barnhill Mark Rylance Rebecca Hall,Steven Spielberg
The Revenant,Western Drama Adventure Thriller,Leonardo DiCaprio Tom Hardy Will Poulter,Alejandro González Iñárritu
Turbo,Animation Family,Ryan Reynolds Paul Giamatti Michael Peña,David Soren
Rango,Animation Comedy Family Western Adventure,Johnny Depp Isla Fisher Ned Beatty,Gore Verbinski
Penguins of Madagascar,Family Animation Adventure Comedy,Tom McGrath Chris Miller Christopher Knights,Eric Darnell
The Bourne Ultimatum,Action Drama Mystery Thriller,Matt Damon Julia Stiles David Strathairn,Paul Greengrass
Kung Fu Panda,Adventure Animation Family Comedy,Jack Black Dustin Hoffman Angelina Jolie,Mark Osborne
Ant-Man,Science Fiction Action Adventure,Paul Rudd Michael Douglas Evangeline Lilly,Peyton Reed
The Hunger Games: Catching Fire,Adventure Action Science Fiction,Jennifer Lawrence Josh Hutcherson Liam Hemsworth,Francis Lawrence
Home,Fantasy Comedy Animation Science Fiction Family,Jim Parsons Rihanna Steve Martin,Tim Johnson
War of the Worlds,Adventure Thriller Science Fiction,Tom Cruise Dakota Fanning Miranda Otto,Steven Spielberg
Bad Boys II,Adventure Action Comedy Thriller Crime,Martin Lawrence Will Smith Jordi Mollà,Michael Bay
Puss in Boots,Action Adventure Animation Family Fantasy,Antonio Banderas Salma Hayek Zach Galifianakis,Chris Miller
Salt,Action Mystery Thriller,Angelina Jolie Liev Schreiber Chiwetel Ejiofor,Phillip Noyce
Noah,Drama Adventure,Russell Crowe Jennifer Connelly Emma Watson,Darren Aronofsky
The Adventures of Tintin,Adventure Animation Mystery,Jamie Bell Andy Serkis Daniel Craig,Steven Spielberg
Harry Potter and the Prisoner of Azkaban,Adventure Fantasy Family,Daniel Radcliffe Rupert Grint Emma Watson,Alfonso Cuarón
Australia,Drama,Nicole Kidman Hugh Jackman Essie Davis,Baz Luhrmann
After Earth,Science Fiction Action Adventure,Jaden Smith Will Smith Sophie Okonedo,M. Night Shyamalan
Dinosaur,Animation Family,D. B. Sweeney Alfre Woodard Ossie Davis,Ralph Zondag
Night at the Museum: Secret of the Tomb,Adventure Comedy Fantasy Family,Ben Stiller Rami Malek Rebel Wilson,Shawn Levy
Megamind,Animation Action Comedy Family Science Fiction,Will Ferrell Brad Pitt Tina Fey,Tom McGrath
Harry Potter and the Philosopher's Stone,Adventure Fantasy Family,Daniel Radcliffe Rupert Grint Emma Watson,Chris Columbus
R.I.P.D.,Fantasy Action Comedy Crime,Jeff Bridges Ryan Reynolds Kevin Bacon,Robert Schwentke
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure Fantasy Action,Johnny Depp Geoffrey Rush Orlando Bloom,Gore Verbinski
The Hunger Games: Mockingjay - Part 1,Science Fiction Adventure Thriller,Jennifer Lawrence Josh Hutcherson Liam Hemsworth,Francis Lawrence
The Da Vinci Code,Thriller Mystery,Tom Hanks Audrey Tautou Ian McKellen,Ron Howard
Rio 2,Animation Adventure Comedy Family,Jesse Eisenberg Anne Hathaway Leslie Mann,Carlos Saldanha
X2,Adventure Action Science Fiction Thriller,Patrick Stewart Hugh Jackman Ian McKellen,Bryan Singer
Fast Five,Action Thriller Crime,Vin Diesel Paul Walker Jordana Brewster,Justin Lin
Sherlock Holmes: A Game of Shadows,Adventure Action Crime Mystery,Robert Downey Jr. Jude Law Jared Harris,Guy Ritchie
Clash of the Titans,Adventure Fantasy Action,Sam Worthington Liam Neeson Ralph Fiennes,Louis Leterrier
Total Recall,Action Adventure Science Fiction,Arnold Schwarzenegger Sharon Stone Rachel Ticotin,Paul Verhoeven
The 13th Warrior,Adventure Fantasy Action,Antonio Banderas Vladimir Kulich Dennis Storhøi,John McTiernan
The Bourne Legacy,Action Thriller,Jeremy Renner Rachel Weisz Edward Norton,Tony Gilroy
Batman & Robin,Action Crime Fantasy,George Clooney Chris O'Donnell Arnold Schwarzenegger,Joel Schumacher
How the Grinch Stole Christmas,Family Comedy Fantasy,Jim Carrey Taylor Momsen Jeffrey Tambor,Ron Howard
The Day After Tomorrow,Action Adventure Science Fiction Thriller,Dennis Quaid Jake Gyllenhaal Emmy Rossum,Roland Emmerich
Mission: Impossible II,Adventure Action Thriller,Tom Cruise Dougray Scott Thandie Newton,John Woo
The Perfect Storm,Drama,George Clooney Mark Wahlberg Diane Lane,Wolfgang Petersen
4: Rise of the Silver Surfer,Adventure Fantasy Action Thriller,Ioan Gruffudd Jessica Alba Chris Evans,Tim Story
Life of Pi,Adventure Drama Action,Suraj Sharma Irrfan Khan Ayush Tandon,Ang Lee
Ghost Rider,Thriller Action Fantasy Horror,Nicolas Cage Eva Mendes Wes Bentley,Mark Steven Johnson
Jason Bourne,Action Thriller,Matt Damon Alicia Vikander Tommy Lee Jones,Paul Greengrass
Charlie's Angels: Full Throttle,Action Adventure Comedy,Cameron Diaz Drew Barrymore Lucy Liu,McG
Prometheus,Science Fiction Adventure Mystery,Noomi Rapace Michael Fassbender Guy Pearce,Ridley Scott
Stuart Little 2,Family Adventure Animation Comedy,Michael J. Fox Geena Davis Hugh Laurie,Rob Minkoff
Elysium,Science Fiction Action Drama Thriller,Matt Damon Jodie Foster Sharlto Copley,Neill Blomkamp
The Chronicles of Riddick,Action Science Fiction,Vin Diesel Thandie Newton Karl Urban,David Twohy
RoboCop,Action Science Fiction,Joel Kinnaman Gary Oldman Michael Keaton,José Padilha
Speed Racer,Action Family Science Fiction,Emile Hirsch Christina Ricci Matthew Fox,Lilly Wachowski
How Do You Know,Comedy Drama Romance,Reese Witherspoon Paul Rudd Owen Wilson,James L. Brooks
Knight and Day,Action Comedy,Tom Cruise Cameron Diaz Peter Sarsgaard,James Mangold
Oblivion,Action Science Fiction Adventure Mystery,Tom Cruise Morgan Freeman Olga Kurylenko,Joseph Kosinski
Star Wars: Episode III - Revenge of the Sith,Science Fiction Adventure Action,Ewan McGregor Natalie Portman Hayden Christensen,George Lucas
Star Wars: Episode II - Attack of the Clones,Adventure Action Science Fiction,Ewan McGregor Natalie Portman Hayden Christensen,George Lucas
"Monsters, Inc.",Animation Comedy Family,John Goodman Billy Crystal Mary Gibbs,Pete Docter
The Wolverine,Action Science Fiction Adventure Fantasy,Hugh Jackman Hiroyuki Sanada Famke Janssen,James Mangold
Star Wars: Episode I - The Phantom Menace,Adventure Action Science Fiction,Liam Neeson Ewan McGregor Natalie Portman,George Lucas
The Croods,Adventure Animation Comedy Family Fantasy,Nicolas Cage Emma Stone Ryan Reynolds,Chris Sanders
Astérix aux Jeux Olympiques,Fantasy Adventure Comedy Family,Clovis Cornillac Gérard Depardieu Franck Dubosc,Thomas Langmann
Windtalkers,Drama Action History War,Nicolas Cage Adam Beach Peter Stormare,John Woo
The Huntsman: Winter's War,Action Adventure Drama,Chris Hemsworth Charlize Theron Emily Blunt,Cedric Nicolas-Troyan
Teenage Mutant Ninja Turtles,Science Fiction Action Adventure Fantasy Comedy,Megan Fox Will Arnett William Fichtner,Jonathan Liebesman
Gravity,Science Fiction Thriller Drama,Sandra Bullock George Clooney Ed Harris,Alfonso Cuarón
Dante's Peak,Action Adventure Thriller,Pierce Brosnan Linda Hamilton Jamie Renée Smith,Roger Donaldson
Teenage Mutant Ninja Turtles: Out of the Shadows,Fantasy Action Adventure Comedy,Megan Fox Stephen Amell Will Arnett,Dave Green
Fantastic Four,Action Adventure Science Fiction,Miles Teller Kate Mara Michael B. Jordan,Josh Trank
Night at the Museum,Action Adventure Comedy Family Fantasy,Ben Stiller Jake Cherry Carla Gugino,Shawn Levy
San Andreas,Action Drama Thriller,Dwayne Johnson Alexandra Daddario Carla Gugino,Brad Peyton
Tomorrow Never Dies,Adventure Action Thriller,Pierce Brosnan Jonathan Pryce Michelle Yeoh,Roger Spottiswoode
The Patriot,Drama History War Action,Mel Gibson Heath Ledger Joely Richardson,Roland Emmerich
Ocean's Twelve,Thriller Crime,George Clooney Brad Pitt Catherine Zeta-Jones,Steven Soderbergh
Mr. & Mrs. Smith,Action Comedy Drama Thriller,Angelina Jolie Brad Pitt Vince Vaughn,Doug Liman
Insurgent,Adventure Science Fiction Thriller,Shailene Woodley Theo James Kate Winslet,Robert Schwentke
The Aviator,Drama,Leonardo DiCaprio Cate Blanchett Kate Beckinsale,Martin Scorsese
Gulliver's Travels,Comedy,Jack Black Amanda Peet Emily Blunt,Rob Letterman
The Green Hornet,Action Crime Comedy,Seth Rogen Jay Chou Christoph Waltz,Michel Gondry
300: Rise of an Empire,Action War,Sullivan Stapleton Eva Green Lena Headey,Noam Murro
